station_pk,name,x,y,altitude,priority,private,has_measurement,has_warnregion,country,active
10427,Kahler Asten,8456.06448,6382.66176,839,2,1,1,1,Germany,1
10430,Bad Lippspringe,8581.95972,6055.85268,157,3,1,1,1,Germany,1
10432,Köterberg,8754.00012,6021.0,492,6,0,0,1,Germany,1
10433,Lügde,8737.50672,6012.12456,258,3,0,1,1,Germany,1
10435,Warburg,8680.23036,6207.8454,235,3,0,1,1,Germany,1
10438,Kassel,8802,6318.0,231,6,0,0,1,Germany,1
10439,Fritzlar,8740.76652,6415.72812,172,2,1,1,1,Germany,1
10441,Schauenburg,8769.22776,6326.9343,317,3,0,1,1,Germany,1
10442,Alfeld,8930.57436,5959.2402,148,3,0,1,1,Germany,1
10444,Göttingen,8982.20376,6209.8218,175,3,0,1,1,Germany,1
10449,Leinefelde,9112.4442,6267.6234,356,3,0,1,1,Germany,1
10452,Braunlage,9216.76824,6089.38452,607,3,0,1,1,Germany,1
10453,Brocken,9222.5754,6048.7452,1142,2,1,1,1,Germany,1
10454,Wernigerode,9276.70572,6023.4732,234,3,0,1,1,Germany,1
10457,Cochstedt,9510.00012,6021.0,162,6,0,0,1,Germany,1
10458,Harzgerode,9409.20732,6127.92162,404,3,0,1,1,Germany,1
10460,Artern,9465.11172,6277.79052,164,3,0,1,1,Germany,1
10466,Halle,9701.97588,6202.56582,96,3,0,0,1,Germany,1
10469,Leipzig-Flugh.,9806.26392,6245.2134,141,2,1,1,1,Germany,1
10471,Leipzig,9880.64136,6309.86382,141,3,0,1,1,Germany,1
10474,Wittenberg,9952.02828,5999.84118,105,2,0,1,1,Germany,1
10476,Holzdorf,10139.98932,6066.50904,79,3,0,1,1,Germany,1
10480,Oschatz,10113.42132,6320.17998,150,3,0,1,1,Germany,1
10487,Dresden-Stadt,10344.00024,6453.0,113,6,0,0,1,Germany,1
10488,Dresden-Flugh.,10351.56168,6410.90376,230,1,1,1,1,Germany,1
10490,Doberlug-Kirchhain,10286.88336,6131.64438,97,3,0,1,1,Germany,1
10492,Cottbus-Flugh.,10542.00024,6066.00036,68,6,0,0,1,Germany,1
10493,Preschen,10667.99988,6119.99928,100,6,0,0,1,Germany,1
10495,Hoyerswerda,10531.17036,6237.3672,116,3,0,1,1,Germany,1
10496,Cottbus,10554.05196,6060.9708,69,2,1,1,1,Germany,1
10499,Görlitz,10782.2034,6392.439,237,2,1,1,1,Germany,1
10500,Geilenkirchen,7574.10876,6502.005,90,3,0,1,1,Germany,1
10501,Aachen,7596.0,6597.00018,202,6,0,0,1,Germany,1
10502,Nörvenich,7797.66192,6572.13696,118,3,0,1,1,Germany,1
10505,Aachen-Orsbach,7568.78328,6588.99522,231,1,1,1,1,Germany,1
10506,Nürburg-Barweiler,7873.08336,6825.5244,486,3,1,1,1,Germany,1
10510,Nürburg,7902,6840.00072,627,6,0,0,1,Germany,1
10513,Köln/Bonn-Flugh.,7976.69568,6553.1376,91,2,1,1,1,Germany,1
10514,Mendig,8033.999976,6822.0009,182,6,0,0,1,Germany,1
10515,Bendorf,8130.00006,6794.99928,127,6,0,0,1,Germany,1
10516,Koblenz,8128.49004,6819.52284,84,3,0,1,1,Germany,1
10517,Bonn-Friesdorf,7974.0,6642.0,64,6,0,0,1,Germany,1
10519,Bonn-Roleber,7989.52068,6623.12862,159,3,0,1,1,Germany,1
10520,Andernach,8071.30476,6791.148,75,4,0,1,1,Germany,1
10521,Rothaargeb.,8352,6515.99964,635,6,0,0,1,Germany,1
10526,Bad Marienberg,8265.66948,6662.5065,547,3,0,1,1,Germany,1
10532,Gießen,8511.80472,6695.07822,186,2,1,1,1,Germany,1
10534,Hoherodskopf,8720.89308,6745.44132,743,3,0,1,1,Germany,1
10535,Wahlen,8687.99988,6579.00036,349,6,0,0,1,Germany,1
10537,Neu-Ulrichstein,8648.11836,6613.9929,350,3,0,1,1,Germany,1
10540,Eisenach,9130.35852,6479.6058,312,3,0,1,1,Germany,1
10542,Bad Hersfeld,8905.61484,6559.96482,273,3,0,1,1,Germany,1
10544,Wasserkuppe,8979.40692,6751.4337,921,2,1,1,1,Germany,1
10546,Kaltennordheim,9054,6677.9991,487,6,0,0,1,Germany,1
10548,Meiningen,9135.7578,6716.97522,450,3,1,1,1,Germany,1
10552,Schmücke,9276.95952,6666.53544,937,3,0,1,1,Germany,1
10554,Erfurt-Flugh.,9345.89088,6489.2556,315,1,1,1,1,Germany,1
10555,Weimar,9474.00012,6488.99964,264,6,0,0,1,Germany,1
10557,Neuhaus,9408.38184,6749.87418,845,3,0,1,1,Germany,1
10558,Sonneberg,9425.99988,6812.9991,626,6,0,0,1,Germany,1
10564,Schleiz,9649.4706,6713.3313,501,3,0,1,1,Germany,1
10565,Osterfeld,9694.51272,6432.858,246,3,0,1,1,Germany,1
10567,Gera,9766.38888,6544.11528,311,2,1,1,1,Germany,1
10569,Plauen,9766.80504,6759.78264,386,3,0,1,1,Germany,1
10574,Carlsfeld,9940.10508,6787.08288,898,3,0,1,1,Germany,1
10577,Chemnitz,10033.91172,6592.70556,418,2,0,1,1,Germany,1
10578,Fichtelberg,10063.26216,6788.6937,1213,3,1,1,1,Germany,1
10579,Marienberg,10132.8984,6668.4573,639,3,0,1,1,Germany,1
10582,Zinnwald,10350.57384,6625.05642,877,2,0,1,0,Germany,1
10591,Lichtenhain,10515.33936,6513.3018,320,3,0,1,1,Germany,1
10609,Trier,7796.96172,7156.1394,265,2,1,1,1,Germany,1
10613,Büchel,7941.42936,6925.7025,478,3,0,1,1,Germany,1
10615,Deuselbach,7939.48356,7148.574,480,3,0,1,1,Germany,1
10616,Hahn,8015.22792,7049.02878,502,3,1,1,1,Germany,1
10617,Traben-Trarbach,7963.07868,7038.82602,257,6,0,0,1,Germany,1
10618,Idar-Oberstein,8037.4878,7185.92796,376,3,0,1,1,Germany,1
10628,Geisenheim,8263.74708,7027.5978,118,3,0,1,1,Germany,1
10633,Wiesbaden,8399.99988,6993.0,140,6,0,0,1,Germany,1
10635,Kl. Feldberg/Ts,8440.87572,6900.22098,805,3,0,1,1,Germany,1
10637,Frankfurt-Flugh.,8467.73892,7005.95136,111,1,1,1,1,Germany,1
10640,Offenbach (WA),8544.00024,6957.0009,98,6,0,0,1,Germany,1
10641,Offenbach,8563.02804,6971.3946,119,2,1,1,1,Germany,1
10645,Breitsol,8795.99988,7074.0,585,6,0,0,1,Germany,1
10646,Neuhütten,8792.60328,7015.5423,340,3,0,1,1,Germany,1
10648,Vielbrunn,8675.88804,7172.47872,453,3,0,1,1,Germany,1
10655,Würzburg,8984.78028,7144.04718,268,2,1,1,1,Germany,1
10658,Bad Kissingen,9028.51668,6899.00544,262,3,0,1,1,Germany,1
10671,Coburg,9348.46488,6854.3982,322,3,0,1,1,Germany,1
10675,Bamberg,9331.40916,7087.94496,243,3,1,1,1,Germany,1
10677,Bayreuth,9587.99988,7028.99964,488,6,0,0,1,Germany,1
10684,Hof-Flugh.,9666,6867.00018,585,6,0,0,1,Germany,1
10685,Hof,9675.37872,6851.39202,567,2,1,1,1,Germany,1
10686,Wunsiedel,9710.81604,7002.9765,622,3,0,1,1,Germany,1
10688,Weiden,9786.40704,7200.21744,438,3,1,1,1,Germany,1
10704,Berus,7807.24548,7417.4292,363,3,0,1,1,Germany,1
10706,Tholey,7933.88808,7304.16798,396,3,0,1,1,Germany,1
10708,Saarbrücken-Flugh.,7958.77632,7445.08638,322,1,1,1,1,Germany,1
10714,Zweibrücken,8064.0,7442.99982,345,6,0,0,1,Germany,1
10722,Baden-Baden-Flugh.,8308.98,7679.178,124,6,0,0,1,Germany,1
10724,Weinbiet,8323.66008,7357.0491,553,3,0,1,1,Germany,1
10727,Karlsruhe,8412.00012,7542.00018,112,6,0,0,1,Germany,1
10729,Mannheim,8479.46736,7285.1238,96,2,1,1,1,Germany,1
10731,Rheinstetten,8398.8594,7574.8122,118,2,1,1,1,Germany,1
10733,Waibstadt,8605.9368,7401.1158,237,3,0,1,1,Germany,1
10735,Sinsheim,8597.99988,7425,169,6,0,0,1,Germany,1
10736,Mühlacker,8594.41932,7575.0822,244,3,0,1,1,Germany,1
10738,Stuttgart-Flugh.,8720.4726,7728.3126,396,1,1,1,1,Germany,1
10739,Stuttgart (WA),8712.01476,7652.7774,314,3,0,1,1,Germany,1
10742,Öhringen,8826.29712,7448.19462,276,3,1,1,1,Germany,1
10743,Niederstetten,8987.99148,7349.65164,468,3,0,1,1,Germany,1
10747,Kaisersbach,8887.38156,7604.7768,489,3,0,1,1,Germany,1
10755,Ansbach,9227.99988,7389.00036,467,6,0,0,1,Germany,1
10756,Feuchtwangen,9131.82192,7472.3364,475,3,0,1,1,Germany,1
10761,Weißenburg,9335.49984,7553.85102,422,3,0,1,1,Germany,1
10763,Nürnberg-Flugh.,9379.77624,7288.34598,318,1,1,1,1,Germany,1
10765,Roth,9397.296,7443.144,388,3,0,1,1,Germany,1
10771,Kümmersbruck,9684.58068,7328.70018,419,3,0,1,1,Germany,1
10776,Regensburg,9756.73908,7537.1256,366,2,1,1,1,Germany,1
